,,,,,,
Zipcode,Latitude,Longitude,,,,
80002,39.794822,-105.105292,,,,
80003,39.825373,-105.063525,,,,
80004,39.817202,-105.123954,,,,
80005,39.851650,-105.131418,,,,
80007,39.862519,-105.192405,,,,
80010,39.739249,-104.862881,,,,
80011,39.738764,-104.782159,,,,
80012,39.699735,-104.837643,,,,
80013,39.661404,-104.765658,,,,
80014,39.663559,-104.838066,,,,
80015,39.627320,-104.779035,,,,
80016,39.599458,-104.707606,,,,
80017,39.697928,-104.785460,,,,
80018,39.688002,-104.689740,,,,
80019,39.786982,-104.702170,,,,
80020,39.930782,-105.074287,,,,
80021,39.890663,-105.113724,,,,
80022,39.879646,-104.798722,,,,
80023,39.975858,-105.009387,,,,
80024,39.843876,-104.917925,,,,
80025,39.939848,-105.283942,,,,
80026,40.012251,-105.099757,,,,
80027,39.950806,-105.159495,,,,
80030,39.830822,-105.037470,,,,
80031,39.873832,-105.038659,,,,
80033,39.772675,-105.104801,,,,
80045,39.747872,-104.838305,,,,
80101,39.365030,-104.019170,,,,
80102,39.745990,-104.442841,,,,
80103,39.780010,-104.142596,,,,
80104,39.276134,-104.832238,,,,
80105,39.667581,-103.969401,,,,
80106,39.186147,-104.515915,,,,
80107,39.409358,-104.572571,,,,
80108,39.445520,-104.853001,,,,
80109,39.364264,-104.901376,,,,
80110,39.645936,-105.011368,,,,
80111,39.613005,-104.877957,,,,
80112,39.576926,-104.857826,,,,
80113,39.644445,-104.965111,,,,
80116,39.320019,-104.709712,,,,
80117,39.369612,-104.342901,,,,
80118,39.192431,-104.905265,,,,
80120,39.593836,-105.011460,,,,
80121,39.610714,-104.949039,,,,
80122,39.580309,-104.954917,,,,
80123,39.616010,-105.069449,,,,
80124,39.532889,-104.891089,,,,
80125,39.485069,-105.052316,,,,
80126,39.540572,-104.958557,,,,
80127,39.530726,-105.164344,,,,
80128,39.563846,-105.079066,,,,
80129,39.545535,-105.010351,,,,
80130,39.530958,-104.923416,,,,
80131,39.476440,-105.007544,,,,
80132,39.099410,-104.846530,,,,
80133,39.096847,-104.980513,,,,
80134,39.485499,-104.778638,,,,
80135,39.254744,-105.156973,,,,
80136,39.791978,-104.279929,,,,
80137,39.770328,-104.597351,,,,
80138,39.517532,-104.670911,,,,
80202,39.751907,-104.997633,,,,
80203,39.731686,-104.982650,,,,
80204,39.734837,-105.020395,,,,
80205,39.758857,-104.962829,,,,
80206,39.730282,-104.952592,,,,
80207,39.762298,-104.916613,,,,
80209,39.706581,-104.965750,,,,
80210,39.676626,-104.962315,,,,
80211,39.767444,-105.019736,,,,
80212,39.772047,-105.048027,,,,
80214,39.743312,-105.069025,,,,
80215,39.744773,-105.115977,,,,
80216,39.788551,-104.956478,,,,
80218,39.731085,-104.970674,,,,
80219,39.695293,-105.035601,,,,
80220,39.733819,-104.916570,,,,
80221,39.817067,-105.011035,,,,
80222,39.671019,-104.927895,,,,
80223,39.695794,-105.003843,,,,
80224,39.687746,-104.911338,,,,
80226,39.712845,-105.091519,,,,
80227,39.666287,-105.089746,,,,
80228,39.694990,-105.173144,,,,
80229,39.855318,-104.957119,,,,
80230,39.719464,-104.890279,,,,
80231,39.671420,-104.887802,,,,
80232,39.686866,-105.090234,,,,
80233,39.899671,-104.946561,,,,
80234,39.909992,-105.002643,,,,
80235,39.647607,-105.089482,,,,
80236,39.651675,-105.039569,,,,
80237,39.639871,-104.901711,,,,
80238,39.771649,-104.882471,,,,
80239,39.787628,-104.838551,,,,
80241,39.929518,-104.954808,,,,
80246,39.705197,-104.930842,,,,
80247,39.698327,-104.878815,,,,
80249,39.854746,-104.695804,,,,
80260,39.866918,-105.006059,,,,
80264,39.742477,-104.985482,,,,
80290,39.744092,-104.986754,,,,
80293,39.746253,-104.989935,,,,
80294,39.749452,-104.989270,,,,
80301,40.049468,-105.201421,,,,
80302,40.043465,-105.372324,,,,
80303,39.973222,-105.209276,,,,
80304,40.045421,-105.291263,,,,
80305,39.975334,-105.248158,,,,
80310,40.002148,-105.263655,,,,
80401,39.718726,-105.236031,,,,
80403,39.836967,-105.299574,,,,
80419,39.728399,-105.202805,,,,
80420,39.324723,-106.116757,,,,
80421,39.460932,-105.501199,,,,
80422,39.870497,-105.528825,,,,
80423,39.884824,-106.586734,,,,
80424,39.473301,-106.004254,,,,
80425,39.350155,-105.205591,,,,
80426,39.912085,-107.000453,,,,
80427,39.780281,-105.494960,,,,
80428,40.843694,-106.925249,,,,
80432,39.222372,-105.796893,,,,
80433,39.477721,-105.262386,,,,
80434,40.843252,-106.286789,,,,
80435,39.573695,-105.934609,,,,
80436,39.780974,-105.640117,,,,
80438,39.744391,-105.794123,,,,
80439,39.634422,-105.440245,,,,
80440,39.228920,-105.969828,,,,
80442,39.924007,-105.889416,,,,
80443,39.556393,-106.170245,,,,
80444,39.608406,-105.750988,,,,
80446,40.176381,-105.949079,,,,
80447,40.296598,-105.762357,,,,
80448,39.423124,-105.649844,,,,
80449,38.976576,-105.856797,,,,
80451,40.098446,-106.073143,,,,
80452,39.689403,-105.670783,,,,
80453,39.662687,-105.242573,,,,
80454,39.630111,-105.248097,,,,
80455,40.094970,-105.397691,,,,
80456,39.248322,-105.536849,,,,
80457,39.648250,-105.290978,,,,
80459,40.177204,-106.454609,,,,
80461,39.231742,-106.313157,,,,
80463,39.970544,-106.720487,,,,
80465,39.609101,-105.205545,,,,
80466,39.974483,-105.546992,,,,
80467,40.206871,-106.825671,,,,
80468,39.951923,-106.122681,,,,
80469,40.200081,-106.968565,,,,
80470,39.379793,-105.324404,,,,
80471,39.935223,-105.420972,,,,
80473,40.416393,-106.134369,,,,
80475,39.455178,-105.570364,,,,
80476,39.670628,-105.834343,,,,
80477,40.486391,-106.829354,,,,
80478,40.029019,-105.852772,,,,
80479,40.035912,-106.814497,,,,
80480,40.672888,-106.341566,,,,
80481,40.101411,-105.576764,,,,
80482,39.897522,-105.785797,,,,
80483,40.091798,-106.935980,,,,
80487,40.540952,-106.850132,,,,
80488,40.448703,-106.818184,,,,
80497,39.670756,-106.000064,,,,
80498,39.746631,-106.270530,,,,
80501,40.164837,-105.103179,,,,
80503,40.169014,-105.210376,,,,
80504,40.163388,-105.030087,,,,
80510,40.212495,-105.606827,,,,
80511,40.340181,-105.572189,,,,
80512,40.631157,-105.574043,,,,
80513,40.297380,-105.103753,,,,
80514,40.065847,-104.955479,,,,
80515,40.462346,-105.382303,,,,
80516,40.051112,-105.027632,,,,
80517,40.384744,-105.586376,,,,
80520,40.113099,-104.931431,,,,
80521,40.594597,-105.127416,,,,
80524,40.646857,-105.029513,,,,
80525,40.529861,-105.036641,,,,
80526,40.518836,-105.143224,,,,
80528,40.494596,-105.004639,,,,
80530,40.097792,-104.929279,,,,
80532,40.493095,-105.467197,,,,
80534,40.331863,-104.937467,,,,
80535,40.732954,-105.183846,,,,
80536,40.868337,-105.369065,,,,
80537,40.363199,-105.176682,,,,
80538,40.457521,-105.050761,,,,
80540,40.235694,-105.364549,,,,
80542,40.235081,-104.999386,,,,
80543,40.349679,-104.857452,,,,
80544,40.103412,-105.171093,,,,
80545,40.874586,-105.637727,,,,
80546,40.525242,-104.849696,,,,
80547,40.526630,-104.965364,,,,
80549,40.857579,-105.044150,,,,
80550,40.484657,-104.900983,,,,
80601,39.962027,-104.807809,,,,
80602,39.966363,-104.908709,,,,
80603,39.982211,-104.737094,,,,
80610,40.673769,-104.591319,,,,
80611,40.624982,-104.287097,,,,
80612,40.872141,-104.852569,,,,
80615,40.545658,-104.645698,,,,
80620,40.373756,-104.717482,,,,
80621,40.107239,-104.801290,,,,
80622,40.538013,-104.460409,,,,
80623,40.285379,-104.782532,,,,
80624,40.486784,-104.498802,,,,
80631,40.442868,-104.673072,,,,
80634,40.403315,-104.792917,,,,
80640,39.887453,-104.880987,,,,
80642,40.051416,-104.612139,,,,
80643,40.112932,-104.489163,,,,
80644,40.428280,-104.424790,,,,
80645,40.330728,-104.667961,,,,
80648,40.755864,-104.740919,,,,
80649,40.400836,-104.185793,,,,
80650,40.621518,-104.829835,,,,
80651,40.241735,-104.809410,,,,
80652,40.138877,-104.275149,,,,
80653,40.423342,-103.974634,,,,
80654,40.138103,-104.065491,,,,
80701,40.165309,-103.870735,,,,
80705,40.270499,-103.829653,,,,
80720,40.078252,-103.219881,,,,
80721,40.689612,-102.153900,,,,
80722,40.506613,-103.271661,,,,
80723,40.193773,-103.543331,,,,
80726,40.905042,-102.793047,,,,
80727,40.075829,-102.510988,,,,
80728,40.644866,-102.873872,,,,
80729,40.884243,-104.269296,,,,
80731,40.594450,-102.600328,,,,
80733,40.371386,-103.450535,,,,
80734,40.519891,-102.291952,,,,
80735,39.709824,-102.273164,,,,
80736,40.811815,-103.027237,,,,
80737,40.876140,-102.177979,,,,
80740,39.725661,-103.382898,,,,
80741,40.567222,-103.476943,,,,
80742,40.755781,-103.835012,,,,
80743,40.197118,-102.954746,,,,
80744,40.873626,-102.391968,,,,
80745,40.895496,-103.412556,,,,
80746,40.609603,-102.465912,,,,
80747,40.942361,-103.086174,,,,
80749,40.867058,-102.547276,,,,
80750,40.414765,-103.604846,,,,
80751,40.636880,-103.232406,,,,
80754,40.721755,-103.665469,,,,
80755,39.911897,-102.344974,,,,
80757,39.791027,-103.583130,,,,
80758,40.138836,-102.193094,,,,
80759,40.135241,-102.685959,,,,
80801,39.732280,-103.101271,,,,
80802,38.836946,-102.173384,,,,
80804,39.346840,-103.248069,,,,
80805,39.305959,-102.455614,,,,
80807,39.321667,-102.223231,,,,
80808,38.981599,-104.304401,,,,
80809,38.852057,-105.008560,,,,
80810,38.822287,-102.428708,,,,
80812,39.619003,-102.849918,,,,
80813,38.805388,-105.158500,,,,